name,gender
JVKE,male
Sexyy Red,female
SiR,male
Jessie Murph,female
Mike Posner,male
Hans Zimmer,male
Tiësto,male
RÜFÜS DU SOL,band
Simple Minds,band
Calum Scott,male
Shoreline Mafia,band
ENHYPEN,band
VOILÀ,band
Edward Maya,male
SYML,male
Banda El Recodo,band
Haddaway,male
Stromae,male
El Trono de Mexico,band
Joe Hisaishi,male
Sonny Fodera,male
Grateful Dead,band
Yandel,male
Ludovico Einaudi,male
Ariis,male
HUGEL,male
Kolohe Kai,band
2hollis,male
Morgan Seatree,male
Alesso,male
Bob Sinclar,male
BABYMETAL,band
Alejandro Sanz,male
1nonly,male
Los Acosta,band
Gibran Alcocer,male
K-Paz De La Sierra,band
Tinlicker,band
Timmy Trumpet,male
Armin van Buuren,male
The Living Tombstone,band
Bad Bunny,male
Olivia Newton-John,female
Clovis Reyes,male
TheFatRat,male
Yami Safdie,female
Rudimental,band
R3HAB,male
REDZED,male
iñigo quintero,male
Jere Klein,male
LBI利比,male
Víctor Manuelle,male
Michael Schulte,male
Karan Aujla,male
Carlos Rivera,male
De La Rose,female
MoonDeity,male
The Waterboys,band
Blaiz Fayah,male
Sematary,male
Yaisel LM,male
Hariharan,male
Elvis Martinez,male
Eme MalaFe,male
JONY,male
Nicolas Julian,male
MACAN,male
Keenan Te,male
Lia Kali,female
Perfume,band
cade clair,male
LIZOT,male
Anar,male
Maddix,male
Yeison Jimenez,male
NO CIGAR,band
Luis Alfonso,male
Ran-D,male
Braaheim,male
Carabao,band
House of Shem,band
Giggs,male
Reykon,male
Nina,female
Headie One,male
Alfons,male
Busy Signal,male
T.I BLAZE,male
Deepend,male
Matheus & Kauan,band
Ferrugem,male
Mohamed Ramadan,male
Stan Walker,male
Uru,female
KVSH,male
Gloc-9,male
Ave Mujica,band
Luis Brown,male
Basta,male
El Mató a un Policía Motorizado,band
Corazón Serrano,band
Nej,female
Tom Gregory,male
Guè,male
Nakash Aziz,male
Demarco,male
Nina Chuba,female
Mundo Bita,band
Sam C.S.,male
PARTYNEXTDOOR,male
Sid Sriram,male
Gorod 312,band
MIRA,female
alyona alyona,female
Luan Pereira,male
Voyage,male
Konfuz,male
Garry Sandhu,male
Baby Gang,male
Franglish,male
SHY FX,male
Tyson Yoshi,male
Coez,male
Zinoleesky,male
Roy Kim,male
LUNAX,female
Leiva,male
Loredana Bertè,female
Elodie,female
Elodie,female
Sonu Nigam,male
Alka Yagnik,female
LEE SEUNG YOON,male
Zeca Pagodinho,male
Zouhair Bahaoui,male
Dr. Peacock,male
reezy,male
Alla Pugacheva,female
Eliad,male
Sarkodie,male
Lil Kesh,male
Green Apelsin,female
L-Gante,male
Diogo Nogueira,male
SQWOZ BAB,male
Bensoul,male
Lynda,female
Natte Visstick,male
Genezio,male
C JAMM,male
Jorge Aragão,male
Interplanetary Criminal,male
MC Ryan SP,male
Mayorkun,male
Mahmoud Al Turky,male
Crystal Rock,male
GSPD,band
Niphkeys,male
GREGO,male
Victor Leksell,male
