album_id,album_name,artist_name,release_date,total_tracks,popularity,image_url,genre,genre_cleaned,genre_condensed
7IllZzTGFyEisKATxVvE4Z,Reject,Take Care,2022-11-10,9,61,https://i.scdn.co/image/ab67616d0000b273bde5fa05b95abb638604d8f8,slowcore,indie,indie
5hVCiOPye3IDJG4rbO44UH,All My Homies Hate Ticketmaster (Live from Red Rocks),Zach Bryan,2022-12-25,24,59,https://i.scdn.co/image/ab67616d0000b2730e8b47c2643337f0c23adb48,country,country,country/folk
2ll6KONxe4F87GJku1ZZrl,Freddie's Inferno,Freddie Dredd,2022-08-11,14,62,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,phonk,rap,rap/hip hop
2lRl9BdFLHc3jtZzAEteCX,Velara (Ambient Noise),Nylana,2022-05-23,5,63,https://i.scdn.co/image/ab67616d0000b273e5fc429315dd4c8db1112e05,white noise,relaxed,relaxed
7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,1,69,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,folk,folk,country/folk
6aPyqaE53xagYyLIYZjB1e,5SOS5,5 Seconds of Summer,2022-09-23,19,64,https://i.scdn.co/image/ab67616d0000b273e5b926c0a2cff846b48bf315,new wave,pop,pop
7LvAkKsdanaAsOe79nkl8z,Where The Shooters Be,SleazyWorld Go,2022-11-11,21,58,https://i.scdn.co/image/ab67616d0000b273cc4189ed2b978970af359d36,rap,rap,rap/hip hop
5ie8vTZ17RhunHEDIlBAwg,the color grey.,jev.,2022-12-20,8,62,https://i.scdn.co/image/ab67616d0000b27330ec6bbc12d278273bf4326a,DR Congo,hip hop,rap/hip hop
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,Morgan Wallen,2023-03-03,36,86,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,country,country,country/folk
0EiI8ylL0FmWWpgHVTsZjZ,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,14,87,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6,pop,pop,pop
6PbnGueEO6LGodPfvNldYf,Zach Bryan,Zach Bryan,2023-08-25,16,82,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,country,country,country/folk
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,Travis Scott,2023-07-28,19,86,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,experimental hip hop,hip hop,rap/hip hop
19DGbjQW4oJmS1TLmr7OH3,Religiously. The Album.,Bailey Zimmerman,2023-01-11,16,80,https://i.scdn.co/image/ab67616d0000b2730c5d03daf39f254bb546cf3a,country,country,country/folk
1xJHno7SmdVtZAtXbdbDZp,GUTS,Olivia Rodrigo,2023-09-08,12,85,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,pop,pop,pop
0XKconI47eiBP6qPYHsx9f,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-21,14,82,https://i.scdn.co/image/ab67616d0000b273a21d22ecf823e1c90aa22d1f,pop,pop,pop
7Lv6VzSqIz1sAssK2JUskG,$AD BOYZ 4 LIFE II,Junior H,2023-10-05,17,86,https://i.scdn.co/image/ab67616d0000b273f3ba6742a35f111aaea1ca2f,Corridos tumbados,latin,latin
5Uly85dJHHDfHQCsyUQ8gw,Gettin' Old,Luke Combs,2023-03-24,18,80,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,country,country,country/folk
1gjugH97doz3HktiEjx2vY,Take Me Back To Eden,Sleep Token,2023-05-19,12,80,https://i.scdn.co/image/ab67616d0000b2730b73608b678f169d3c8f35f0,progressive metal,metal,metal
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,10,85,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,soul,soul,soul/jazz
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),Taylor Swift,2023-10-26,21,83,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,country,country,country/folk
2xXY6j7QVSz6rpqEU9q1Ha,Have A Nice Day,Treaty Oak Revival,2023-11-24,10,76,https://i.scdn.co/image/ab67616d0000b2732df46e25c66fa879c98b547d,country,country,country/folk
4jox3ip1I39DFC2B7R5qLH,GÉNESIS,Peso Pluma,2023-06-29,17,84,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba,corridos tumbados,latin,latin
4czdORdCWP9umpbhFXK2fW,For All The Dogs,Drake,2023-10-06,23,80,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,hip-hop,hip hop,rap/hip hop
7ivbFszr1TbVadj89BIy1y,NEVER ENOUGH,Daniel Caesar,2023-04-07,15,81,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc,rnb,r&b,r&b
1pb3je8gXTs5dpRRTKhHRC,Stick Season (We'll All Be Here Forever),Noah Kahan,2023-06-09,21,78,https://i.scdn.co/image/ab67616d0000b27365a472d8326d4571bf725422,indie,indie,indie
0OUOx6rJXtL66AzTnP9KUE,THINK LATER,Tate McRae,2023-12-08,14,80,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,pop,pop,pop
2Q2TRdT994vTzGE3Grmmht,Love Sick (Deluxe),Don Toliver,2023-02-28,20,79,https://i.scdn.co/image/ab67616d0000b273f5e27c2aa0b110c2b6611577,rap,rap,rap/hip hop
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),Taylor Swift,2023-07-07,22,81,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,haunted,country,country/folk
7edOMLcHlhP4Y1b6tzJbn4,AMAR,BigXthaPlug,2023-02-10,13,75,https://i.scdn.co/image/ab67616d0000b273030b2a1b24826136295e583c,Hip-Hop,hip hop,rap/hip hop
