image,skin_percentage
6TIzz9Z4n03E5USTDzBweS.jpg,13.39
4R09OvFyz47HfjecIjoEtP.jpg,29.07
5hDjUyxqB0g8uwn3M0g9MM.jpg,0.0
1Am7TK3scBmJC5e5O7Tlel.jpg,17.46
40HSPj6trAiTBF9MoxNRNu.jpg,30.17
4pnhHLvaRIlDUwXEIXZEnH.jpg,0.0
0VEFy5MsBiq0u2lWL0OwOd.jpg,0.0
3p7m1Pmg6n3BlpL9Py7IUA.jpg,83.89
1tXsPb5kDQ5hOIuBkPQeEf.jpg,0.02
2T7LuxZRr6SQMgABLtoYTH.jpg,54.41
7KYgF3DFsc2eCamlB4JMzy.jpg,8.17
1Af06nFSGAilI9Z3n3JG6T.jpg,0.0
5sLDE06hTPUsBajUxNN8tM.jpg,23.31
75cuk2fS8mTSJB0GkA72wM.jpg,29.01
30IYyCP3Ptfat4hO5alq7b.jpg,0.05
1ERrUvG31thFCxdwWUoJrY.jpg,14.9
2actLFtpiiBZm1z0TUzMx2.jpg,12.12
59hIIDzaPSH5O3QSz4zX0t.jpg,8.3
1PFy3At4783o15yGZQleWZ.jpg,13.23
2GSPQgDtOK5lJQzzKfAlzT.jpg,58.11
5cxqlKuwtwuJOxFmAL2SSB.jpg,0.0
